Date : 2025-10-26 20:16:27
Directory : c:\Users\Saplonily\Home\Projects\CelesteMods
Total : 349 files,  7871 codes, 324 comments, 1117 blanks, all 9312 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| BitsHelper\BitsHelper\ModFolder\Audio                                                                                                                                             |          2 |          0 |          0 |          0 |          0 |
| BitsHelper\BitsHelper\ModFolder\Graphics                                                                                                                                          |         35 |         20 |          0 |          5 |         25 |
| BitsHelper\BitsHelper\ModFolder\Graphics\Atlases                                                                                                                                  |         34 |          0 |          0 |          0 |          0 |
| BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay                                                                                                                         |         34 |          0 |          0 |          0 |          0 |
| BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\BitsHelper                                                                                                              |          1 |          0 |          0 |          0 |          0 |
| BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects                                                                                                                 |         33 |          0 |          0 |          0 |          0 |
| BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper                                                                                                      |         33 |          0 |          0 |          0 |          0 |
| BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubble                                                                                               |          9 |          0 |          0 |          0 |          0 |
| BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleEmitter                                                                                        |          7 |          0 |          0 |          0 |          0 |
| BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill                                                                                         |         15 |          0 |          0 |          0 |          0 |
| BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\facingSwap                                                                                           |          2 |          0 |          0 |          0 |          0 |
| BitsHelper\BitsHelper\ModFolder\Graphics\BitsHelper                                                                                                                               |          1 |         20 |          0 |          5 |         25 |
| BitsHelper\BitsHelper\ModFolder\Loenn                                                                                                                                             |          6 |        149 |          0 |         40 |        189 |
| BitsHelper\BitsHelper\ModFolder\Loenn\entities                                                                                                                                    |          4 |        137 |          0 |         38 |        175 |
| BitsHelper\BitsHelper\ModFolder\Loenn\lang                                                                                                                                        |          1 |          0 |          0 |          0 |          0 |
| BitsHelper\BitsHelper\ModFolder\Loenn\triggers                                                                                                                                    |          1 |         12 |          0 |          2 |         14 |
| BitsHelper\BitsHelper\Modules                                                                                                                                                     |          1 |         69 |          0 |         14 |         83 |
| BitsHelper\BitsHelper\Triggers                                                                                                                                                    |          1 |         25 |          0 |          4 |         29 |
| CNY2024Helper                                                                                                                                                                     |         41 |        817 |         13 |        100 |        930 |
| CNY2024Helper (Files)                                                                                                                                                             |         14 |        541 |         13 |         65 |        619 |
| CNY2024Helper\Legacy                                                                                                                                                              |          3 |        178 |          0 |         23 |        201 |
| CNY2024Helper\ModFolder                                                                                                                                                           |         24 |         98 |          0 |         12 |        110 |
| CNY2024Helper\ModFolder (Files)                                                                                                                                                   |          1 |         12 |          0 |          0 |         12 |
| CNY2024Helper\ModFolder\Dialog                                                                                                                                                    |          2 |          0 |          0 |          0 |          0 |
| CNY2024Helper\ModFolder\Graphics                                                                                                                                                  |         16 |          7 |          0 |          0 |          7 |
| CNY2024Helper\ModFolder\Graphics\Atlases                                                                                                                                          |         15 |          0 |          0 |          0 |          0 |
| CNY2024Helper\ModFolder\Graphics\Atlases\Misc                                                                                                                                     |         15 |          0 |          0 |          0 |          0 |
| CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper                                                                                                                       |         15 |          0 |          0 |          0 |          0 |
| CNY2024Helper\ModFolder\Loenn                                                                                                                                                     |          5 |         79 |          0 |         12 |         91 |
| CNY2024Helper\ModFolder\Loenn\effects                                                                                                                                             |          1 |         15 |          0 |          3 |         18 |
| CNY2024Helper\ModFolder\Loenn\entities                                                                                                                                            |          2 |         50 |          0 |          6 |         56 |
| CNY2024Helper\ModFolder\Loenn\lang                                                                                                                                                |          1 |          0 |          0 |          0 |          0 |
| CNY2024Helper\ModFolder\Loenn\triggers                                                                                                                                            |          1 |         14 |          0 |          3 |         17 |
| ChroniaHelperIndicatorZone                                                                                                                                                        |         18 |        666 |         22 |         82 |        770 |
| ChroniaHelperIndicatorZone (Files)                                                                                                                                                |          1 |          0 |          0 |          0 |          0 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone                                                                                                                             |         17 |        666 |         22 |         82 |        770 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone (Files)                                                                                                                     |          9 |        541 |         22 |         71 |        634 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone\ModFolder                                                                                                                   |          8 |        125 |          0 |         11 |        136 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone\ModFolder (Files)                                                                                                           |          1 |          6 |          0 |          1 |          7 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone\ModFolder\Graphics                                                                                                          |          4 |          0 |          0 |          0 |          0 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone\ModFolder\Graphics\Atlases                                                                                                  |          4 |          0 |          0 |          0 |          0 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone\ModFolder\Graphics\Atlases\Gameplay                                                                                         |          4 |          0 |          0 |          0 |          0 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone\ModFolder\Graphics\Atlases\Gameplay\ChroniaHelper                                                                           |          4 |          0 |          0 |          0 |          0 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone\ModFolder\Graphics\Atlases\Gameplay\ChroniaHelper\PlayerIndicator                                                           |          4 |          0 |          0 |          0 |          0 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone\ModFolder\Loenn                                                                                                             |          3 |        119 |          0 |         10 |        129 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone\ModFolder\Loenn\consts                                                                                                      |          1 |         27 |          0 |          0 |         27 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone\ModFolder\Loenn\entities                                                                                                    |          1 |         92 |          0 |         10 |        102 |
| ChroniaHelperIndicatorZone\ChroniaHelperIndicatorZone\ModFolder\Loenn\lang                                                                                                        |          1 |          0 |          0 |          0 |          0 |
| DeadableJellyFish                                                                                                                                                                 |          7 |        176 |          8 |         24 |        208 |
| DeadableJellyFish (Files)                                                                                                                                                         |          6 |        170 |          8 |         23 |        201 |
| DeadableJellyFish\ModFolder                                                                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| DumpEffect                                                                                                                                                                        |          7 |        280 |          8 |         27 |        315 |
| DumpEffect (Files)                                                                                                                                                                |          6 |        274 |          8 |         26 |        308 |
| DumpEffect\ModFolder                                                                                                                                                              |          1 |          6 |          0 |          1 |          7 |
| EMField                                                                                                                                                                           |         19 |        416 |          8 |         70 |        494 |
| EMField (Files)                                                                                                                                                                   |          1 |          0 |          0 |          0 |          0 |
| EMField\EMField                                                                                                                                                                   |         18 |        416 |          8 |         70 |        494 |
| EMField\EMField (Files)                                                                                                                                                           |         12 |        355 |          8 |         61 |        424 |
| EMField\EMField\ModFolder                                                                                                                                                         |          6 |         61 |          0 |          9 |         70 |
| EMField\EMField\ModFolder (Files)                                                                                                                                                 |          1 |          6 |          0 |          1 |          7 |
| EMField\EMField\ModFolder\Loenn                                                                                                                                                   |          5 |         55 |          0 |          8 |         63 |
| EMField\EMField\ModFolder\Loenn\entities                                                                                                                                          |          4 |         55 |          0 |          8 |         63 |
| EMField\EMField\ModFolder\Loenn\lang                                                                                                                                              |          1 |          0 |          0 |          0 |          0 |
| ExtendedView                                                                                                                                                                      |         10 |        470 |          9 |         56 |        535 |
| ExtendedView (Files)                                                                                                                                                              |          1 |          0 |          0 |          0 |          0 |
| ExtendedView\ExtendedView                                                                                                                                                         |          9 |        470 |          9 |         56 |        535 |
| ExtendedView\ExtendedView (Files)                                                                                                                                                 |          8 |        464 |          9 |         55 |        528 |
| ExtendedView\ExtendedView\ModFolder                                                                                                                                               |          1 |          6 |          0 |          1 |          7 |
| FreezeExperiencer                                                                                                                                                                 |          7 |        184 |          8 |         24 |        216 |
| FreezeExperiencer (Files)                                                                                                                                                         |          6 |        178 |          8 |         23 |        209 |
| FreezeExperiencer\ModFolder                                                                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| LessCoreInputLag                                                                                                                                                                  |         14 |        589 |         16 |         72 |        677 |
| LessCoreInputLag (Files)                                                                                                                                                          |          2 |          4 |          0 |          3 |          7 |
| LessCoreInputLag\LessCoreInputLag                                                                                                                                                 |         12 |        585 |         16 |         69 |        670 |
| LessCoreInputLag\LessCoreInputLag (Files)                                                                                                                                         |         11 |        579 |         16 |         68 |        663 |
| LessCoreInputLag\LessCoreInputLag\ModFolder                                                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| NoPumberWhenGrab                                                                                                                                                                  |          7 |        163 |          8 |         21 |        192 |
| NoPumberWhenGrab (Files)                                                                                                                                                          |          6 |        157 |          8 |         20 |        185 |
| NoPumberWhenGrab\ModFolder                                                                                                                                                        |          1 |          6 |          0 |          1 |          7 |
| SafeAltF4                                                                                                                                                                         |          8 |        255 |          5 |         33 |        293 |
| SafeAltF4 (Files)                                                                                                                                                                 |          1 |          0 |          0 |          0 |          0 |
| SafeAltF4\SafeAltF4                                                                                                                                                               |          7 |        255 |          5 |         33 |        293 |
| SafeAltF4\SafeAltF4 (Files)                                                                                                                                                       |          5 |        249 |          5 |         32 |        286 |
| SafeAltF4\SafeAltF4\ModFolder                                                                                                                                                     |          2 |          6 |          0 |          1 |          7 |
| SafeAltF4\SafeAltF4\ModFolder\Dialog                                                                                                                                              |          1 |          0 |          0 |          0 |          0 |
| ShakeYourWindow                                                                                                                                                                   |          7 |        225 |          8 |         30 |        263 |
| ShakeYourWindow (Files)                                                                                                                                                           |          1 |          0 |          0 |          0 |          0 |
| ShakeYourWindow\ShakeYourWindow                                                                                                                                                   |          6 |        225 |          8 |         30 |        263 |
| ShakeYourWindow\ShakeYourWindow (Files)                                                                                                                                           |          5 |        219 |          8 |         29 |        256 |
| ShakeYourWindow\ShakeYourWindow\ModFolder                                                                                                                                         |          1 |          6 |          0 |          1 |          7 |
| SpikeDeathListener                                                                                                                                                                |         10 |        190 |          5 |         27 |        222 |
| SpikeDeathListener (Files)                                                                                                                                                        |          2 |          7 |          0 |          0 |          7 |
| SpikeDeathListener\SpikeDeathListener                                                                                                                                             |          8 |        183 |          5 |         27 |        215 |
| SpikeDeathListener\SpikeDeathListener (Files)                                                                                                                                     |          5 |        163 |          5 |         24 |        192 |
| SpikeDeathListener\SpikeDeathListener\ModFolder                                                                                                                                   |          3 |         20 |          0 |          3 |         23 |
| SpikeDeathListener\SpikeDeathListener\ModFolder (Files)                                                                                                                           |          1 |          6 |          0 |          1 |          7 |
| SpikeDeathListener\SpikeDeathListener\ModFolder\Loenn                                                                                                                             |          2 |         14 |          0 |          2 |         16 |
| SpikeDeathListener\SpikeDeathListener\ModFolder\Loenn\entities                                                                                                                    |          1 |         14 |          0 |          2 |         16 |
| SpikeDeathListener\SpikeDeathListener\ModFolder\Loenn\lang                                                                                                                        |          1 |          0 |          0 |          0 |          0 |
| StaminaDisplay                                                                                                                                                                    |          7 |        214 |         17 |         30 |        261 |
| StaminaDisplay (Files)                                                                                                                                                            |          1 |          0 |          0 |          0 |          0 |
| StaminaDisplay\StaminaDisplay                                                                                                                                                     |          6 |        214 |         17 |         30 |        261 |
| StaminaDisplay\StaminaDisplay (Files)                                                                                                                                             |          5 |        208 |         17 |         29 |        254 |
| StaminaDisplay\StaminaDisplay\ModFolder                                                                                                                                           |          1 |          6 |          0 |          1 |          7 |
| WhatMod                                                                                                                                                                           |         11 |        234 |          5 |         35 |        274 |
| WhatMod (Files)                                                                                                                                                                   |          7 |        228 |          5 |         34 |        267 |
| WhatMod\ModFolder                                                                                                                                                                 |          4 |          6 |          0 |          1 |          7 |
| WhatMod\ModFolder\Audio                                                                                                                                                           |          2 |          0 |          0 |          0 |          0 |
| WhatMod\ModFolder\Graphics                                                                                                                                                        |          1 |          0 |          0 |          0 |          0 |
| WhatMod\ModFolder\Graphics\Atlases                                                                                                                                                |          1 |          0 |          0 |          0 |          0 |
| WhatMod\ModFolder\Graphics\Atlases\Gui                                                                                                                                            |          1 |          0 |          0 |          0 |          0 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| filename                                                                                                                                                                          | language      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\BeiDanCi.csproj                                                                                                             | XML           |         25 |          0 |          4 |         29 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\BeiDanCi.sln                                                                                                                | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\BeiDanCiModule.cs                                                                                                           | C#            |        156 |          1 |         26 |        183 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\BeiDanCiSettings.cs                                                                                                         | C#            |         82 |          0 |         20 |        102 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\CelesteMod.props                                                                                                            | XML           |         64 |          2 |          5 |         71 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\CelesteMod.targets                                                                                                          | XML           |         67 |          5 |         14 |         86 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\Csv\CsvReader.cs                                                                                                            | C#            |        348 |         92 |         46 |        486 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\Csv\CsvWriter.cs                                                                                                            | C#            |         86 |         16 |         22 |        124 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\Data\BeiDanCiSaveData.cs                                                                                                    | C#            |         78 |          4 |          6 |         88 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\Data\Question.cs                                                                                                            | C#            |         17 |          0 |          3 |         20 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\Data\Vocabulary.cs                                                                                                          | C#            |        172 |          4 |         27 |        203 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese.fnt                                                                                          | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_00.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_01.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_02.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_03.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_04.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_05.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_06.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_07.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_08.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_09.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_10.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_11.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_12.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_13.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_14.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_15.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_16.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_17.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_18.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_19.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_20.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_21.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_22.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_23.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_24.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_25.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_26.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_27.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_28.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_29.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_30.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_31.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_32.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_33.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_34.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_35.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_36.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_37.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_38.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_39.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_40.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_41.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_42.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_43.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_44.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_45.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_46.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_47.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_48.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_49.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_50.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_51.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_52.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
